retrieved_at_utc	http_status	bytes	sha256_body	url	final_url	notice_kind	short_quote
2026-09-24T06:49:51Z	200	35	eb1c3f030497a10c340a13470ad2bd061a5ef296260bb3d87b46fca0fef45a6a	https://pegis.penang.gov.my/geoportal/sharing/rest/content/items/5ae1e704f8644bd4bedec12b2a6093b6/groups?f=json	https://pegis.penang.gov.my/geoportal/sharing/rest/content/items/5ae1e704f8644bd4bedec12b2a6093b6/groups?f=json	item groups: none visible anonymously (not in open-data group)	
2026-09-24T06:49:54Z	200	35	eb1c3f030497a10c340a13470ad2bd061a5ef296260bb3d87b46fca0fef45a6a	https://pegis.penang.gov.my/geoportal/sharing/rest/content/items/724c7a791bb048bb9d55a16d11890eed/groups?f=json	https://pegis.penang.gov.my/geoportal/sharing/rest/content/items/724c7a791bb048bb9d55a16d11890eed/groups?f=json	item groups: none visible anonymously (not in open-data group)	
2026-09-24T06:49:57Z	200	151	9c0f313cfa3d399abb1dedb14f7d50ed9bc32c4bcdc87cd616e5de988e787542	https://pegis.penang.gov.my/geoportal/sharing/rest/community/groups/3e2cc7e6f17045fea002a4be5941f13d?f=json	https://pegis.penang.gov.my/geoportal/sharing/rest/community/groups/3e2cc7e6f17045fea002a4be5941f13d?f=json	open-data group: body error 403 (not public)	
2026-09-24T06:50:11Z	200	5391	651acf8cc7a83b2f709478a04973881e61850a8a55bee8864774f1688d552640	https://api.github.com/repos/dosm-malaysia/data-open	https://api.github.com/repos/dosm-malaysia/data-open	repo metadata; license=other	
2026-09-24T06:50:15Z	200	5743	86fe8bed2e3b2bfc49d1b86910a0aeb889a95005074ec82b69a92d45934f61f1	https://api.github.com/repos/dosm-malaysia/data-open/license	https://api.github.com/repos/dosm-malaysia/data-open/license	dataset licence: DOSM Open Data License (LICENSE.md)	adapt and exploit the data commercially and non-commercially
2026-09-24T06:50:18Z	200	2936	c5b9e27583f5dd628e4f5e15687646180eef553534a17b828affadc794947bac	https://api.github.com/repos/dosm-malaysia/data-open/contents/	https://api.github.com/repos/dosm-malaysia/data-open/contents/	repo root listing	
2026-09-24T06:50:21Z	200	2416	ad27b2e695b3f843415e323dd84668fe0d45859fba4483b4bd69f6d2f498e2fc	https://api.github.com/repos/data-gov-my/datagovmy-meta/license	https://api.github.com/repos/data-gov-my/datagovmy-meta/license	repository licence: MIT	
2026-09-24T06:50:25Z	200	5514	20713364c6622dcd33a52fb1163a237ad4f4f7d5f67676362b517b2dfdb3808d	https://api.github.com/repos/data-gov-my/datagovmy-meta	https://api.github.com/repos/data-gov-my/datagovmy-meta	repo metadata; license=MIT	
2026-09-24T06:50:47Z	401	120	b7dbd173f33b19650f61b1c528737e2037cf768d90076fdfce5d32541765e29e	https://api.github.com/search/code?q=administrative_2_district+repo:dosm-malaysia/data-open	https://api.github.com/search/code?q=administrative_2_district+repo:dosm-malaysia/data-open	code search needs auth (401); not used	
2026-09-24T06:50:50Z	200	2909	56580bb6276bc9e62c5ab1be6ac853f1bcdca39fdc04255a0a7d2751bcd23da5	https://api.github.com/repos/dosm-malaysia/data-open/contents/datasets	https://api.github.com/repos/dosm-malaysia/data-open/contents/datasets	datasets listing	
